Name,Port,Date,KPI,Hour00Min00,Hour00Min15,Hour00Min30,Hour00Min45,Hour01Min00,Hour01Min15,Hour01Min30,Hour01Min45,Hour02Min00,Hour02Min15,Hour02Min30,Hour02Min45,Hour03Min00,Hour03Min15,Hour03Min30,Hour03Min45,Hour04Min00,Hour04Min15,Hour04Min30,Hour04Min45,Hour05Min00,Hour05Min15,Hour05Min30,Hour05Min45,Hour06Min00,Hour06Min15,Hour06Min30,Hour06Min45,Hour07Min00,Hour07Min15,Hour07Min30,Hour07Min45,Hour08Min00,Hour08Min15,Hour08Min30,Hour08Min45,Hour09Min00,Hour09Min15,Hour09Min30,Hour09Min45,Hour10Min00,Hour10Min15,Hour10Min30,Hour10Min45,Hour11Min00,Hour11Min15,Hour11Min30,Hour11Min45,Hour12Min00,Hour12Min15,Hour12Min30,Hour12Min45,Hour13Min00,Hour13Min15,Hour13Min30,Hour13Min45,Hour14Min00,Hour14Min15,Hour14Min30,Hour14Min45,Hour15Min00,Hour15Min15,Hour15Min30,Hour15Min45,Hour16Min00,Hour16Min15,Hour16Min30,Hour16Min45,Hour17Min00,Hour17Min15,Hour17Min30,Hour17Min45,Hour18Min00,Hour18Min15,Hour18Min30,Hour18Min45,Hour19Min00,Hour19Min15,Hour19Min30,Hour19Min45,Hour20Min00,Hour20Min15,Hour20Min30,Hour20Min45,Hour21Min00,Hour21Min15,Hour21Min30,Hour21Min45,Hour22Min00,Hour22Min15,Hour22Min30,Hour22Min45,Hour23Min00,Hour23Min15,Hour23Min30,Hour23Min45
0435_ZC_14,FlexiPacket Radio 1,2015-01-26,RX_profile_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4972_ZC_11,FlexiPacket Radio 1,2015-01-26,InDroppedPkts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35262_ZFA_11,MainBoard First Mile 200 GbEPort 1,2015-01-26,InOctets,286123284,286123284,286119432,286444832,286121053,286123336,286444110,286120472,286119614,286444321,286122930,286120513,286123833,286444680,286126058,286126058,286444487,286119557,286124055,286444151,286120209,286119321,286444846,286122694,286120527,286443985,286124293,286119514,286122794,286122794,286120209,286444165,286120527,286122682,286444405,286119323,286120363,286443585,286122848,286124170,286119323,286444625,286126671,286126671,286443656,286120306,286122971,286444446,286119397,286120306,286443833,286123693,286119587,286448196,286119541,286120513,286123407,286123407,286119791,286444596,286119958,286122737,286444914,286119514,286120777,286443599,286127182,286119859,286120127,286443917,286126099,286126099,286444846,286119598,286123666,286444192,286120363,286119434,286444682,286122848,286124197,286443903,286120004,286123378,286123311,286123311,286119600,286444682,286119641,286123127,286444001,286120363,286119682,286444625,286126446,286120984
0010_ZA_12,ODU 1 Radio 1,2015-01-26,RLTS_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0986_ZC_11,FlexiPacket GbEPort 1,2015-01-26,OutGoodPkts,3771837,3762454,3734240,3737823,3686263,3678269,3676967,3671473,3675758,3673148,3667941,3670935,3664958,3674286,3663889,3668829,3669875,3667896,3667704,3669794,3673108,3673688,3684262,3703699,3722134,3738358,3736598,3781539,3793094,3861331,3859022,3963753,3937477,4057745,4030642,4036393,4036818,4208945,4102745,4488066,4316671,4467957,4646829,4554700,4593499,4728774,4645200,4743640,4858734,4775491,5103449,5036160,5163384,5024072,5178429,5083646,5047585,4905634,4959947,4851718,4862301,4862467,4796288,4766825,4987600,4810757,4914793,4781941,4856596,4944648,4798403,4660193,4711406,4761339,4482110,4587717,4583577,4780581,4557662,4425555,4398891,4335984,4271387,4354488,4320775,4322970,4274969,4134155,4049697,3975960,3883832,4022111,3825340,3837112,3765363,3816076
32956_ZD_12,FPMR ODU Radio 1,2015-01-26,Tx_profile_3,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647
11144_ZC_11,FlexiPacket Radio 1,2015-01-26,InGoodPkts,1577031,1649819,1589447,1519196,1503749,1394081,1327750,1345190,1352724,1264243,1278106,1291613,1307973,1232236,1250489,1243820,1251261,1247840,1248657,1237269,1224889,1243788,1247009,1411289,1324001,1407300,1413451,1584581,1665911,1980603,1864596,2257921,2330626,2471107,2376312,2217942,2398148,2469929,2244283,2240357,2165935,2335852,2333992,2234680,2423623,2230442,2189775,2195689,2252785,2109802,2281537,2436372,2533590,2526816,2543563,2213019,2301956,2635457,2870051,2596585,2598903,2600571,2580053,3061319,2689921,2524909,2454382,2627616,2746929,2513590,2659136,2566554,2389948,2659550,2452939,2454201,2462407,2277381,2335544,2078074,2117525,2280080,2049287,2675738,2488766,2005147,2061641,1858851,1982504,2258476,2096546,2476699,2058390,1745880,1764708,1687294
10660_ZC_12,FlexiPacket Radio 1,2015-01-26,TX_Average_Capacity,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3128_ZFA_11,MainBoard First Mile 200 2MTrib 3,2015-01-26,UAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0986_ZEA_11,MainBoard FPH800 2.0 e116port 2MTrib 1,2015-01-26,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
