Date,Name,IP,Tx,Rx,Max_Tx_Power,ATPC,Channel
05/11/2014,4264_ZC_12,172.24.243.212,18985000,17975000,17,0,4
05/11/2014,4264_ZC_11,172.24.243.211,18985000,17975000,17,0,4
05/11/2014,0056_ZC_12,10.232.9.11,25963000,24955000,6,0,4
05/11/2014,0056_ZC_11,10.232.9.10,25963000,24955000,6,0,4
05/11/2014,82534_ZD_12,172.24.243.196,,,,,
05/11/2014,4264_ZD_13,172.24.243.213,,,,,
05/11/2014,82534_ZD_11,172.24.243.195,,,,,
05/11/2014,82534_ZD_13,172.24.243.197,,,,,
05/11/2014,88110_ZD_11,172.24.243.205,,,,,
05/11/2014,35077_ZC_13,172.24.243.202,17975000,18985000,17,0,4
05/11/2014,35077_ZC_14,172.24.243.203,17975000,18985000,17,0,4
05/11/2014,35077_ZD_12,172.24.243.201,,,,,
05/11/2014,35077__ZD_11,172.24.243.200,,,,,
05/11/2014,37203_ZC_12,10.232.9.8,,,,,
05/11/2014,37203_ZC_11,10.232.9.7,24955000,25963000,5,0,4
05/11/2014,88108_ZD_11,172.24.243.207,,,,,
